weather,beginning,gridtype,ann_tech_type,ann_interface,hidden_nodes,penalty_reimbursement,seed,fitness
1,2015 6 21 23:50:00,0,ANN_A,3LN,2,100000.0,12345,1.4478
1,2015 6 21 23:50:00,1,ANN_A,3LN,2,100000.0,12345,3.0359
1,2015 6 21 23:50:00,2,ANN_A,3LN,2,100000.0,12345,3.1840
1,2015 6 21 23:50:00,3,ANN_A,3LN,2,100000.0,12345,3.1687
1,2015 6 21 23:50:00,4,ANN_A,3LN,2,100000.0,12345,3.2686
1,2014 12 31 23:50:00,0,ANN_A,3LN,2,100000.0,12345,0.5266
1,2014 12 31 23:50:00,1,ANN_A,3LN,2,100000.0,12345,1.2144
1,2014 12 31 23:50:00,2,ANN_A,3LN,2,100000.0,12345,1.8026
1,2014 12 31 23:50:00,3,ANN_A,3LN,2,100000.0,12345,1.8026
1,2014 12 31 23:50:00,4,ANN_A,3LN,2,100000.0,12345,1.7709
1,2015 6 21 23:50:00,0,ANN_A,FMN,2,100000.0,12345,1.3623
1,2015 6 21 23:50:00,1,ANN_A,FMN,2,100000.0,12345,2.7584
1,2015 6 21 23:50:00,2,ANN_A,FMN,2,100000.0,12345,2.8799
1,2015 6 21 23:50:00,3,ANN_A,FMN,2,100000.0,12345,2.8201
1,2015 6 21 23:50:00,4,ANN_A,FMN,2,100000.0,12345,2.8190
1,2014 12 31 23:50:00,0,ANN_A,FMN,2,100000.0,12345,0.2902
1,2014 12 31 23:50:00,1,ANN_A,FMN,2,100000.0,12345,0.8646
1,2014 12 31 23:50:00,2,ANN_A,FMN,2,100000.0,12345,1.4203
1,2014 12 31 23:50:00,3,ANN_A,FMN,2,100000.0,12345,1.4004
1,2014 12 31 23:50:00,4,ANN_A,FMN,2,100000.0,12345,1.3786
1,2015 6 21 23:50:00,0,ANN_B,3LN,2,100000.0,12345,1.4489
1,2015 6 21 23:50:00,1,ANN_B,3LN,2,100000.0,12345,3.0997
1,2015 6 21 23:50:00,2,ANN_B,3LN,2,100000.0,12345,3.0334
1,2015 6 21 23:50:00,3,ANN_B,3LN,2,100000.0,12345,3.1973
1,2015 6 21 23:50:00,4,ANN_B,3LN,2,100000.0,12345,3.2242
1,2014 12 31 23:50:00,0,ANN_B,3LN,2,100000.0,12345,0.3184
1,2014 12 31 23:50:00,1,ANN_B,3LN,2,100000.0,12345,1.2110
1,2014 12 31 23:50:00,2,ANN_B,3LN,2,100000.0,12345,1.7961
1,2014 12 31 23:50:00,3,ANN_B,3LN,2,100000.0,12345,1.7961
1,2014 12 31 23:50:00,4,ANN_B,3LN,2,100000.0,12345,1.8177
1,2015 6 21 23:50:00,0,ANN_B,FMN,2,100000.0,12345,1.3732
1,2015 6 21 23:50:00,1,ANN_B,FMN,2,100000.0,12345,2.7481
1,2015 6 21 23:50:00,2,ANN_B,FMN,2,100000.0,12345,3.0691
1,2015 6 21 23:50:00,3,ANN_B,FMN,2,100000.0,12345,2.8413
1,2015 6 21 23:50:00,4,ANN_B,FMN,2,100000.0,12345,2.8009
1,2014 12 31 23:50:00,0,ANN_B,FMN,2,100000.0,12345,0.3410
1,2014 12 31 23:50:00,1,ANN_B,FMN,2,100000.0,12345,0.8627
1,2014 12 31 23:50:00,2,ANN_B,FMN,2,100000.0,12345,1.4144
1,2014 12 31 23:50:00,3,ANN_B,FMN,2,100000.0,12345,1.4144
1,2014 12 31 23:50:00,4,ANN_B,FMN,2,100000.0,12345,1.4142
1,2015 6 21 23:50:00,0,ANN_C,3LN,2,100000.0,12345,1.5505
1,2015 6 21 23:50:00,1,ANN_C,3LN,2,100000.0,12345,3.2697
1,2015 6 21 23:50:00,2,ANN_C,3LN,2,100000.0,12345,3.2291
1,2015 6 21 23:50:00,3,ANN_C,3LN,2,100000.0,12345,3.3086
1,2015 6 21 23:50:00,4,ANN_C,3LN,2,100000.0,12345,3.1411
1,2014 12 31 23:50:00,0,ANN_C,3LN,2,100000.0,12345,0.6190
1,2014 12 31 23:50:00,1,ANN_C,3LN,2,100000.0,12345,1.2503
1,2014 12 31 23:50:00,2,ANN_C,3LN,2,100000.0,12345,1.9236
1,2014 12 31 23:50:00,3,ANN_C,3LN,2,100000.0,12345,1.7918
1,2014 12 31 23:50:00,4,ANN_C,3LN,2,100000.0,12345,1.9451
1,2015 6 21 23:50:00,0,ANN_C,FMN,2,100000.0,12345,1.3629
1,2015 6 21 23:50:00,1,ANN_C,FMN,2,100000.0,12345,2.7852
1,2015 6 21 23:50:00,2,ANN_C,FMN,2,100000.0,12345,2.9131
1,2015 6 21 23:50:00,3,ANN_C,FMN,2,100000.0,12345,2.8463
1,2015 6 21 23:50:00,4,ANN_C,FMN,2,100000.0,12345,2.8612
1,2014 12 31 23:50:00,0,ANN_C,FMN,2,100000.0,12345,0.3761
1,2014 12 31 23:50:00,1,ANN_C,FMN,2,100000.0,12345,0.8911
1,2014 12 31 23:50:00,2,ANN_C,FMN,2,100000.0,12345,1.4843
1,2014 12 31 23:50:00,3,ANN_C,FMN,2,100000.0,12345,1.3798
1,2014 12 31 23:50:00,4,ANN_C,FMN,2,100000.0,12345,1.3893
1,2015 6 21 23:50:00,0,ANN_D,3LN,2,100000.0,12345,1.5113
1,2015 6 21 23:50:00,1,ANN_D,3LN,2,100000.0,12345,3.0388
1,2015 6 21 23:50:00,2,ANN_D,3LN,2,100000.0,12345,3.3061
1,2015 6 21 23:50:00,3,ANN_D,3LN,2,100000.0,12345,3.1720
1,2015 6 21 23:50:00,4,ANN_D,3LN,2,100000.0,12345,3.1854
1,2014 12 31 23:50:00,0,ANN_D,3LN,2,100000.0,12345,0.6621
1,2014 12 31 23:50:00,1,ANN_D,3LN,2,100000.0,12345,1.2871
1,2014 12 31 23:50:00,2,ANN_D,3LN,2,100000.0,12345,1.7945
1,2014 12 31 23:50:00,3,ANN_D,3LN,2,100000.0,12345,1.8108
1,2014 12 31 23:50:00,4,ANN_D,3LN,2,100000.0,12345,1.8221
1,2015 6 21 23:50:00,0,ANN_D,FMN,2,100000.0,12345,1.3708
1,2015 6 21 23:50:00,1,ANN_D,FMN,2,100000.0,12345,2.7891
1,2015 6 21 23:50:00,2,ANN_D,FMN,2,100000.0,12345,2.8352
1,2015 6 21 23:50:00,3,ANN_D,FMN,2,100000.0,12345,2.8751
1,2015 6 21 23:50:00,4,ANN_D,FMN,2,100000.0,12345,2.8303
1,2014 12 31 23:50:00,0,ANN_D,FMN,2,100000.0,12345,0.4117
1,2014 12 31 23:50:00,1,ANN_D,FMN,2,100000.0,12345,0.8367
1,2014 12 31 23:50:00,2,ANN_D,FMN,2,100000.0,12345,1.3929
1,2014 12 31 23:50:00,3,ANN_D,FMN,2,100000.0,12345,1.4139
1,2014 12 31 23:50:00,4,ANN_D,FMN,2,100000.0,12345,1.4022
1,2015 6 21 23:50:00,0,ANN_A_SIGMOID,FMN,2,100000.0,12345,1.3623
1,2015 6 21 23:50:00,1,ANN_A_SIGMOID,FMN,2,100000.0,12345,2.7584
1,2015 6 21 23:50:00,2,ANN_A_SIGMOID,FMN,2,100000.0,12345,2.8799
1,2015 6 21 23:50:00,3,ANN_A_SIGMOID,FMN,2,100000.0,12345,2.8201
1,2015 6 21 23:50:00,4,ANN_A_SIGMOID,FMN,2,100000.0,12345,2.8190
1,2014 12 31 23:50:00,0,ANN_A_SIGMOID,FMN,2,100000.0,12345,0.2902
1,2014 12 31 23:50:00,1,ANN_A_SIGMOID,FMN,2,100000.0,12345,0.8646
1,2014 12 31 23:50:00,2,ANN_A_SIGMOID,FMN,2,100000.0,12345,1.4203
1,2014 12 31 23:50:00,3,ANN_A_SIGMOID,FMN,2,100000.0,12345,1.4004
1,2014 12 31 23:50:00,4,ANN_A_SIGMOID,FMN,2,100000.0,12345,1.3786
1,2015 6 21 23:50:00,0,ANN_B_SIGMOID,FMN,2,100000.0,12345,1.3732
1,2015 6 21 23:50:00,1,ANN_B_SIGMOID,FMN,2,100000.0,12345,2.7481
1,2015 6 21 23:50:00,2,ANN_B_SIGMOID,FMN,2,100000.0,12345,3.0691
1,2015 6 21 23:50:00,3,ANN_B_SIGMOID,FMN,2,100000.0,12345,2.8413
1,2015 6 21 23:50:00,4,ANN_B_SIGMOID,FMN,2,100000.0,12345,2.8009
1,2014 12 31 23:50:00,0,ANN_B_SIGMOID,FMN,2,100000.0,12345,0.3410
1,2014 12 31 23:50:00,1,ANN_B_SIGMOID,FMN,2,100000.0,12345,0.8627
1,2014 12 31 23:50:00,2,ANN_B_SIGMOID,FMN,2,100000.0,12345,1.4144
1,2014 12 31 23:50:00,3,ANN_B_SIGMOID,FMN,2,100000.0,12345,1.4144
1,2014 12 31 23:50:00,4,ANN_B_SIGMOID,FMN,2,100000.0,12345,1.4142
1,2015 6 21 23:50:00,0,ANN_C_SIGMOID,FMN,2,100000.0,12345,1.3629
1,2015 6 21 23:50:00,1,ANN_C_SIGMOID,FMN,2,100000.0,12345,2.7852
1,2015 6 21 23:50:00,2,ANN_C_SIGMOID,FMN,2,100000.0,12345,2.9131
1,2015 6 21 23:50:00,3,ANN_C_SIGMOID,FMN,2,100000.0,12345,2.8463
1,2015 6 21 23:50:00,4,ANN_C_SIGMOID,FMN,2,100000.0,12345,2.8612
1,2014 12 31 23:50:00,0,ANN_C_SIGMOID,FMN,2,100000.0,12345,0.3761
1,2014 12 31 23:50:00,1,ANN_C_SIGMOID,FMN,2,100000.0,12345,0.8911
1,2014 12 31 23:50:00,2,ANN_C_SIGMOID,FMN,2,100000.0,12345,1.4843
1,2014 12 31 23:50:00,3,ANN_C_SIGMOID,FMN,2,100000.0,12345,1.3798
1,2014 12 31 23:50:00,4,ANN_C_SIGMOID,FMN,2,100000.0,12345,1.3893
1,2015 6 21 23:50:00,0,ANN_D_SIGMOID,FMN,2,100000.0,12345,1.3708
1,2015 6 21 23:50:00,1,ANN_D_SIGMOID,FMN,2,100000.0,12345,2.7891
1,2015 6 21 23:50:00,2,ANN_D_SIGMOID,FMN,2,100000.0,12345,2.8352
1,2015 6 21 23:50:00,3,ANN_D_SIGMOID,FMN,2,100000.0,12345,2.8751
1,2015 6 21 23:50:00,4,ANN_D_SIGMOID,FMN,2,100000.0,12345,2.8303
1,2014 12 31 23:50:00,0,ANN_D_SIGMOID,FMN,2,100000.0,12345,0.4117
1,2014 12 31 23:50:00,1,ANN_D_SIGMOID,FMN,2,100000.0,12345,0.8367
1,2014 12 31 23:50:00,2,ANN_D_SIGMOID,FMN,2,100000.0,12345,1.3929
1,2014 12 31 23:50:00,3,ANN_D_SIGMOID,FMN,2,100000.0,12345,1.4139
1,2014 12 31 23:50:00,4,ANN_D_SIGMOID,FMN,2,100000.0,12345,1.4022
0,2015 6 21 23:50:00,0,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,1,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,2,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,3,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,4,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,0,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,1,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,2,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,3,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,4,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,0,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,1,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,2,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,3,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,4,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,0,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,1,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,2,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,3,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,4,ANN_B_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,0,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,1,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,2,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,3,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,4,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,0,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,1,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,2,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,3,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,4,ANN_C_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,0,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,1,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,2,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,3,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,4,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,0,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,1,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,2,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,3,ANN_D_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,4,ANN_D_SIGMOID,FMN,2,100000.0,12345,
